Strategy,total_return,cagr,volatility,sharpe_ratio,sortino_ratio,max_drawdown,max_drawdown_duration,calmar_ratio,win_rate,avg_turnover,n_periods
Oracle,3.09980376153995,0.4205541630807206,0.12651738297731524,2.8461779419408977,6.466734442645974,-0.07771166218765097,15,5.411725231989056,0.6411483253588517,0.4526315789473684,209
BuyHold_SPX,0.6124070363429157,0.12621289515728407,0.1595148175593344,0.8251967529454574,1.331694465111215,-0.24823023889152376,103,0.5084509273362094,0.569377990430622,0.0,209
LR,0.16329185623216214,0.0383495928772124,0.13060844183012155,0.3529157928529705,0.5849883779909962,-0.2046593860691186,99,0.18738252671324238,0.507177033492823,0.35311004784688993,209
RF,0.17390559288115726,0.04069867031347085,0.15201131592172853,0.33796244324383323,0.5365417554173113,-0.27814248658804946,144,0.14632309796578735,0.5406698564593302,0.27655502392344494,209
RiskParity,0.11418683951317443,0.027266998057213776,0.0985898999814354,0.3218428588351197,0.6189688572362595,-0.23226906823586782,130,0.11739401317752868,0.5263157894736842,0.0,209
60_40,0.07337995385186447,0.017774542266589588,0.12174415210564773,0.205242381604449,0.3486322604801489,-0.27911800575773194,156,0.06368110225757877,0.5311004784688995,0.0,209
XGB,0.006745059436998435,0.0016739616729022355,0.14684266498778645,0.0841743719786233,0.13605046999709233,-0.2688212341671285,160,0.006227044072945216,0.5167464114832536,0.2899521531100479,209
STACKING,-0.17417702836605875,-0.04649899014489223,0.10037642279407896,-0.42421378193578124,-0.7353400044128008,-0.3031932554296072,160,-0.1533641969673958,0.47368421052631576,0.13205741626794257,209
